timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-11 08:00:00+00,NYISO,14534,14091,30.20133333333333,3.5,65,11.9,0
2024-01-11 09:00:00+00,NYISO,14410,14021,31.229333333333333,2.1,72,8,0
2024-01-11 10:00:00+00,NYISO,14620,14267,35.44733333333333,0.7,80,6.6,0
2024-01-11 11:00:00+00,NYISO,15382,15067,44.492666666666665,-0.2,85,6.2,0
2024-01-11 12:00:00+00,NYISO,16894,16585,48.88866666666667,-0.7,87,6.2,0
2024-01-11 13:00:00+00,NYISO,17984,17777,47.434,2.3,66,8.1,0
2024-01-11 14:00:00+00,NYISO,18262,18067,44.51866666666667,4.3,63,8,0
2024-01-11 15:00:00+00,NYISO,18177,18017,42.16133333333333,6,54,12.6,0
2024-01-11 16:00:00+00,NYISO,18040,17826,41.156,6.6,54,16.7,0
2024-01-11 17:00:00+00,NYISO,18174,17792,41.004666666666665,7.3,52,14.6,0
2024-01-11 18:00:00+00,NYISO,18142,17755,42.174,8,50,15,0
2024-01-11 19:00:00+00,NYISO,17867,17779,43.22866666666666,8.3,51,15.5,0
2024-01-11 20:00:00+00,NYISO,17869,17904,44.721333333333334,8.3,50,16.3,0
2024-01-11 21:00:00+00,NYISO,18289,18261,49.95333333333333,7.6,53,13.6,0
2024-01-11 22:00:00+00,NYISO,19028,18965,58.672,5.7,60,10.2,0
2024-01-11 23:00:00+00,NYISO,19854,19694,56.708666666666666,4.7,65,10.2,0
2024-01-12 00:00:00+00,NYISO,19770,19603,49.718666666666664,3.8,70,10,0
2024-01-12 01:00:00+00,NYISO,19349,19169,45.8,3.6,71,9.9,0
2024-01-12 02:00:00+00,NYISO,18803,18588,43.69266666666667,3.2,74,10,0
2024-01-12 03:00:00+00,NYISO,17953,17721,40.55866666666667,3,76,11.4,0
2024-01-12 04:00:00+00,NYISO,16943,16665,37.928,2.9,79,10.1,0
2024-01-12 05:00:00+00,NYISO,15948,15665,37.254,3.3,75,12.6,0
2024-01-12 06:00:00+00,NYISO,15281,14854,35.56133333333333,3.5,67,11.9,0
2024-01-12 07:00:00+00,NYISO,14829,14445,34.98466666666666,2.3,70,9.1,0
2024-01-12 08:00:00+00,NYISO,14584,14193,35.12266666666667,1.2,76,8,0
2024-01-12 09:00:00+00,NYISO,14522,14119,36.233333333333334,0.6,80,8.2,0
2024-01-12 10:00:00+00,NYISO,14742,14351,39.06666666666667,-0.2,84,7.4,0
2024-01-12 11:00:00+00,NYISO,15512,15119,46.92266666666667,-0.8,87,7.3,0
2024-01-12 12:00:00+00,NYISO,16961,16505,53.50933333333333,-1.2,89,7,0
2024-01-12 13:00:00+00,NYISO,18061,17557,51.372,0.4,84,6.3,0
2024-01-12 14:00:00+00,NYISO,18194,17802,44.61933333333333,2.9,78,6.5,0
2024-01-12 15:00:00+00,NYISO,17767,17771,42.07533333333333,5.4,69,2.1,0
2024-01-12 16:00:00+00,NYISO,17327,17533,39.85,7,61,5.4,0
2024-01-12 17:00:00+00,NYISO,16963,17367,38.446000000000005,8,54,10.5,0
2024-01-12 18:00:00+00,NYISO,16609,17255,37.622,8.8,53,13.1,0
2024-01-12 19:00:00+00,NYISO,16563,17286,38.29066666666667,9.5,50,16.8,0
2024-01-12 20:00:00+00,NYISO,17085,17465,40.150666666666666,8.8,49,18.2,0
2024-01-12 21:00:00+00,NYISO,17827,17854,45.092,7.7,59,17,0
2024-01-12 22:00:00+00,NYISO,18614,18478,51.723333333333336,6.2,71,15.9,0
2024-01-12 23:00:00+00,NYISO,19339,19009,48.46666666666667,6.1,71,16.9,0
2024-01-13 00:00:00+00,NYISO,19133,18732,44.41466666666667,6.5,72,19.5,0.1
2024-01-13 01:00:00+00,NYISO,18686,18266,40.484,6.6,80,23.3,0.5
2024-01-13 02:00:00+00,NYISO,18206,17728,38.102,8.1,81,25.5,0.3
2024-01-13 03:00:00+00,NYISO,17577,17033,35.67133333333333,8.7,88,23.1,1.3
2024-01-13 04:00:00+00,NYISO,16726,16186,34.66,9.6,89,22.2,4.3
2024-01-13 05:00:00+00,NYISO,15871,15352,35.95733333333333,10.9,89,19.7,5.2
2024-01-13 06:00:00+00,NYISO,15180,14544,33.77133333333333,11.8,91,22.6,5.7
2024-01-13 07:00:00+00,NYISO,14659,14041,31.875999999999998,12.6,91,23.6,2.5
2024-01-13 08:00:00+00,NYISO,14294,13715,30.988,12.6,91,13.2,6.8
